City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score,lat,lon
INDORE,9348.39,7146.41,5647.56,4659,3707,1808,1276,22.7197,75.8573
SURAT,9348.39,6924.84,5519.59,3861,3318,1762,1605,21.1702,72.8311
NAVI MUMBAI,9240.3,6852.91,5467.89,4129,3536,1705,1530,19.033,73.0296
VISAKHAPATNAM,8879.3,6701.18,4918.44,3744,3547,1797,1643,17.6868,83.2185
BHOPAL,8855.2,6608.41,5066.31,3794,3689,1800,1336,23.2599,77.4126
VIJAYAWADA,8751.3,6699.3,5270.32,3882,3580,1624,1284,16.5062,80.648
NEW DELHI (NDMC),8728.3,6550.04,5193.27,4191,3597,1708,1704,28.6139,77.209
GREATER HYDERABAD,8601.3,5612.68,4047.01,3455,3092,1605,1355,17.385,78.4867
PUNE,8595.2,5708.42,4477.31,3446,3471,1660,1533,18.5204,73.8567
RAIPUR,8540.2,5395.31,4098.72,3393,2904.415663,1175,818,21.2514,81.625
PIMPRI CHINCHWAD,8536.7,5051.48,3945.1,3228,2935,1320,1559,18.621,73.8003
AHMEDABAD,8041.5,5720.87,5207.13,4137,3373,1657,1452,23.0225,72.5714
GWALIOR,7994.7,5204.96,4696.36,3148,3083,1545,1235,26.228,78.182
JABALPUR,7760.9,4677.88,4368.55,3667,3096,1609,872,23.1645,79.9414
THANE,7520.3,5308.01,4606.35,3181,2967,1206,1367,19.2183,72.9781
RAJKOT,7465.8,5846,5157.36,4000,3000,1638,1574,22.3039,70.8022
NASHIK,7372.2,4991.86,4729.46,3093,2786,1106,1232,19.9975,73.7898
VADODARA,7344.2,5285.67,4870.34,3000,2925,1703,1511,22.3072,73.1812
GHAZIABAD,7222.5,5387.67,4283.26,3877,2993,672,820,28.4595,77.4
VARANASI,7107.1,4734.69,3684.2,3063,3052,1515,839,25.3176,82.9739
LUCKNOW,7009,5209.69,4728.28,3382.059701,2904.415663,860,1237,26.8467,80.9462
